Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
0.0,18.0,0.6,0.55,0.5,73.30000000000001
1.0,18.002739726027396,0.6126222650905497,0.6267681790484124,0.5729635617636306,73.3540994178036
2.0,18.005479452054793,0.6252569818860675,0.70407306893185,0.6482135805326128,73.40753117623996
3.0,18.00821917808219,0.6379041588727641,0.7819151990281027,0.7257640668087142,73.46294857308426
4.0,18.010958904109586,0.6505638045377333,0.8602950990756433,0.8056290448138441,73.5178448288475
5.0,18.013698630136982,0.6632359273689454,0.9392132991736646,0.8878225524992743,73.57455532461161
6.0,18.01643835616438,0.6759205358552401,1.0,0.9723586415548598,73.63262524688761
7.0,18.019178082191775,0.6886176384863198,1.0,1.0,73.69016839271364
8.0,18.02191780821917,0.701327243752743,1.0,1.0,73.7475077913859
9.0,18.02465753424657,0.7140493601459172,1.0,1.0,73.80664961389186
10.0,18.027397260273965,0.7267839961580923,1.0,1.0,73.86556172867296
11.0,18.03013698630136,0.7395311602823537,1.0,1.0,73.92424896340852
12.0,18.032876712328758,0.7522908610126153,1.0,1.0,73.98356214024783
13.0,18.035616438356154,0.7650631068436132,1.0,1.0,74.04350411630017
14.0,18.03835616438355,0.7778479062708983,1.0,1.0,74.10354431296942
15.0,18.041095890410947,0.7906452677908294,1.0,1.0,74.16334155682749
16.0,18.043835616438344,0.8034551999005669,1.0,1.0,74.22451535838937
17.0,18.04657534246574,0.8162777110980654,1.0,1.0,74.28591732590252
18.0,18.049315068493136,0.829112809882067,1.0,1.0,74.3473059120679
19.0,18.052054794520533,0.8419605047520947,1.0,1.0,74.40783105490041
20.0,18.05479452054793,0.854820804208445,1.0,1.0,74.46955238458672
21.0,18.057534246575326,0.8676937167521812,1.0,1.0,74.53331137804956
22.0,18.060273972602722,0.8805792508851267,1.0,1.0,74.59580609349197
23.0,18.06301369863012,0.8934774151098578,1.0,1.0,74.65849966513304
24.0,18.065753424657515,0.9063882179296969,1.0,1.0,74.72126858250017
25.0,18.068493150684912,0.9193116678487057,1.0,1.0,74.78570433531462
26.0,18.07123287671231,0.9322477733716777,1.0,1.0,74.84965486876813
27.0,18.073972602739705,0.9451965430041324,1.0,1.0,74.91278779475522
28.0,18.0767123287671,0.9581579852523068,1.0,1.0,74.97735694697482
29.0,18.079452054794498,0.9711321086231498,1.0,1.0,75.04120596687002
30.0,18.082191780821894,0.9841189216243145,1.0,1.0,75.1066135704595
31.0,18.08493150684929,0.9971184327641514,1.0,1.0,75.1715541352315
32.0,18.087671232876687,1.0,1.0,1.0,75.23665320765853
33.0,18.090410958904084,1.0,1.0,1.0,75.30271599429994
34.0,18.09315068493148,1.0,1.0,1.0,75.36913177720513
35.0,18.095890410958877,1.0,1.0,1.0,75.43418221750579
36.0,18.098630136986273,1.0,1.0,1.0,75.50080840945363
37.0,18.10136986301367,1.0,1.0,1.0,75.56588256250417
38.0,18.104109589041066,1.0,1.0,1.0,75.63196732823556
39.0,18.106849315068462,1.0,1.0,1.0,75.69793532030684
40.0,18.10958904109586,1.0,1.0,1.0,75.76309792259677
41.0,18.112328767123255,1.0,1.0,1.0,75.82962342322796
42.0,18.115068493150652,1.0,1.0,1.0,75.89494754029542
43.0,18.11780821917805,1.0,1.0,1.0,75.96057955115887
44.0,18.120547945205445,1.0,1.0,1.0,76.02726804384645
45.0,18.12328767123284,1.0,1.0,1.0,76.09339793096638
46.0,18.126027397260238,1.0,1.0,1.0,76.15922032778037
47.0,18.128767123287634,1.0,1.0,1.0,76.22393555929358
48.0,18.13150684931503,1.0,1.0,1.0,76.28963738473148
49.0,18.134246575342427,1.0,1.0,1.0,76.35545940465259
50.0,18.136986301369824,1.0,1.0,1.0,76.42084914009182
51.0,18.13972602739722,1.0,1.0,1.0,76.48672724106584
52.0,18.142465753424617,1.0,1.0,1.0,76.55339842954616
53.0,18.145205479452013,1.0,1.0,1.0,76.61829485435166
54.0,18.14794520547941,1.0,1.0,1.0,76.6846450399554
55.0,18.150684931506806,1.0,1.0,1.0,76.75041343972056
56.0,18.153424657534202,1.0,1.0,1.0,76.81524275396718
57.0,18.1561643835616,1.0,1.0,1.0,76.88123757553004
58.0,18.158904109588995,1.0,1.0,1.0,76.9466394375255
59.0,18.161643835616392,1.0,1.0,1.0,77.01210098743937
60.0,18.16438356164379,1.0,1.0,1.0,77.07654351298191
61.0,18.167123287671185,1.0,1.0,1.0,77.14250867137187
62.0,18.16986301369858,1.0,1.0,1.0,77.20876470367531
63.0,18.172602739725978,1.0,1.0,1.0,77.27511387240646
64.0,18.175342465753374,1.0,1.0,1.0,77.34127894392695
65.0,18.17808219178077,1.0,1.0,1.0,77.40812524694611
66.0,18.180821917808167,1.0,1.0,1.0,77.47449196706394
67.0,18.183561643835564,1.0,1.0,1.0,77.54119435379667
68.0,18.18630136986296,1.0,1.0,1.0,77.6077502135099
69.0,18.189041095890357,1.0,1.0,1.0,77.67334047747535
70.0,18.191780821917753,1.0,1.0,1.0,77.73844206963527
71.0,18.19452054794515,1.0,1.0,1.0,77.80468664514757
72.0,18.197260273972546,1.0,1.0,1.0,77.86985464001438
73.0,18.199999999999942,1.0,1.0,1.0,77.93595574394651
74.0,18.20273972602734,1.0,1.0,1.0,78.00155101887478
75.0,18.205479452054735,1.0,1.0,1.0,78.06825587454365
76.0,18.208219178082132,1.0,1.0,1.0,78.13374069065206
77.0,18.21095890410953,1.0,1.0,1.0,78.19921640492862
78.0,18.213698630136925,1.0,1.0,1.0,78.26607538061445
79.0,18.21643835616432,1.0,1.0,1.0,78.33214262816455
80.0,18.219178082191718,1.0,1.0,1.0,78.39724146926244
81.0,18.221917808219114,1.0,1.0,1.0,78.46322174357391
82.0,18.22465753424651,1.0,1.0,1.0,78.52988018276069
83.0,18.227397260273907,1.0,1.0,1.0,78.59625389289975
84.0,18.230136986301304,1.0,1.0,1.0,78.66282264936386
85.0,18.2328767123287,1.0,1.0,1.0,78.72870092337565
86.0,18.235616438356097,1.0,1.0,1.0,78.79461850734681
87.0,18.238356164383493,1.0,1.0,1.0,78.85942538535062
88.0,18.24109589041089,1.0,1.0,1.0,78.92515546427919
89.0,18.243835616438286,1.0,1.0,1.0,78.99185379454636
90.0,18.246575342465682,1.0,1.0,1.0,79.05730053216406
91.0,18.24931506849308,1.0,1.0,1.0,79.12154941363347
92.0,18.252054794520475,1.0,1.0,1.0,79.18886910987216
93.0,18.254794520547872,1.0,1.0,1.0,79.2539661426207
94.0,18.25753424657527,1.0,1.0,1.0,79.320839550005
95.0,18.260273972602665,1.0,1.0,1.0,79.38677251324053
96.0,18.26301369863006,1.0,1.0,1.0,79.45395293843185
97.0,18.265753424657458,1.0,1.0,1.0,79.51928011519985
98.0,18.268493150684854,1.0,1.0,1.0,79.58533710458757
99.0,18.27123287671225,1.0,1.0,1.0,79.6517355909582
100.0,18.273972602739647,1.0,1.0,1.0,79.71709748156363
101.0,18.276712328767044,1.0,1.0,1.0,79.78262820844833
102.0,18.27945205479444,1.0,1.0,1.0,79.84639607508487
103.0,18.282191780821837,1.0,1.0,1.0,79.91326054718108
104.0,18.284931506849233,1.0,1.0,1.0,79.97915512454843
105.0,18.28767123287663,1.0,1.0,1.0,80.04553874542174
