Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
0.0,20.0,0.65,0.55,0.45,73.6
1.0,20.002739726027396,0.69054914775648,0.6557622391991179,0.5293710281474977,73.67610110608564
2.0,20.005479452054793,0.7311294014579381,0.7633498898872639,0.6127175235524135,73.75449169768616
3.0,20.00821917808219,0.771740772772957,0.8727643520945418,0.7000896312422381,73.83462764762706
4.0,20.010958904109586,0.8123832733603741,0.9840070263759222,0.7915375343672822,73.91541120042137
5.0,20.013698630136982,0.8530569148692633,1.0,0.8871114542145783,73.99726457435132
6.0,20.01643835616438,0.8937617089389176,1.0,0.9842405087488786,74.08129064232234
7.0,20.019178082191775,0.9344976671988307,1.0,1.0,74.16687686537644
8.0,20.02191780821917,0.9752648012686791,1.0,1.0,74.25368700784003
9.0,20.02465753424657,1.0,1.0,1.0,74.34222711389106
10.0,20.027397260273965,1.0,1.0,1.0,74.4304465743838
11.0,20.03013698630136,1.0,1.0,1.0,74.51967715143829
12.0,20.032876712328758,1.0,1.0,1.0,74.6087994490708
13.0,20.035616438356154,1.0,1.0,1.0,74.69828478662625
14.0,20.03835616438355,1.0,1.0,1.0,74.78719803806308
15.0,20.041095890410947,1.0,1.0,1.0,74.87538577309694
16.0,20.043835616438344,1.0,1.0,1.0,74.96355185800898
17.0,20.04657534246574,1.0,1.0,1.0,75.05328538428212
18.0,20.049315068493136,1.0,1.0,1.0,75.14180817557428
19.0,20.052054794520533,1.0,1.0,1.0,75.23025462804407
20.0,20.05479452054793,1.0,1.0,1.0,75.3180006665362
21.0,20.057534246575326,1.0,1.0,1.0,75.40542892758535
22.0,20.060273972602722,1.0,1.0,1.0,75.49235313397612
23.0,20.06301369863012,1.0,1.0,1.0,75.58066076741532
24.0,20.065753424657515,1.0,1.0,1.0,75.66784371751712
25.0,20.068493150684912,1.0,1.0,1.0,75.7561836614184
26.0,20.07123287671231,1.0,1.0,1.0,75.84375119048342
27.0,20.073972602739705,1.0,1.0,1.0,75.93130168082466
28.0,20.0767123287671,1.0,1.0,1.0,76.01924767277063
29.0,20.079452054794498,1.0,1.0,1.0,76.10812924186732
30.0,20.082191780821894,1.0,1.0,1.0,76.19614164129788
31.0,20.08493150684929,1.0,1.0,1.0,76.28512125121021
32.0,20.087671232876687,1.0,1.0,1.0,76.37255348691231
33.0,20.090410958904084,1.0,1.0,1.0,76.46138359988998
34.0,20.09315068493148,1.0,1.0,1.0,76.54903207344542
35.0,20.095890410958877,1.0,1.0,1.0,76.63700523891683
36.0,20.098630136986273,1.0,1.0,1.0,76.72436604191469
37.0,20.10136986301367,1.0,1.0,1.0,76.81309837675497
38.0,20.104109589041066,1.0,1.0,1.0,76.90258785962689
39.0,20.106849315068462,1.0,1.0,1.0,76.99152322132612
40.0,20.10958904109586,1.0,1.0,1.0,77.07963858670885
41.0,20.112328767123255,1.0,1.0,1.0,77.16816365958496
42.0,20.115068493150652,1.0,1.0,1.0,77.25669218481642
43.0,20.11780821917805,1.0,1.0,1.0,77.34564846355957
44.0,20.120547945205445,1.0,1.0,1.0,77.43421684266025
45.0,20.12328767123284,1.0,1.0,1.0,77.52309442346872
46.0,20.126027397260238,1.0,1.0,1.0,77.61195963236081
47.0,20.128767123287634,1.0,1.0,1.0,77.69969066259326
48.0,20.13150684931503,1.0,1.0,1.0,77.7887240488173
49.0,20.134246575342427,1.0,1.0,1.0,77.87854987219215
50.0,20.136986301369824,1.0,1.0,1.0,77.96750918050716
51.0,20.13972602739722,1.0,1.0,1.0,78.05594013975251
52.0,20.142465753424617,1.0,1.0,1.0,78.14553291564275
53.0,20.145205479452013,1.0,1.0,1.0,78.23375772421036
54.0,20.14794520547941,1.0,1.0,1.0,78.3228148118623
55.0,20.150684931506806,1.0,1.0,1.0,78.41102066533746
56.0,20.153424657534202,1.0,1.0,1.0,78.49900525169379
57.0,20.1561643835616,1.0,1.0,1.0,78.58733804843513
58.0,20.158904109588995,1.0,1.0,1.0,78.67542596892982
59.0,20.161643835616392,1.0,1.0,1.0,78.76386701207065
60.0,20.16438356164379,1.0,1.0,1.0,78.85240342400361
61.0,20.167123287671185,1.0,1.0,1.0,78.94000716544623
62.0,20.16986301369858,1.0,1.0,1.0,79.02911331482524
63.0,20.172602739725978,1.0,1.0,1.0,79.11771124019974
64.0,20.175342465753374,1.0,1.0,1.0,79.20730354931648
65.0,20.17808219178077,1.0,1.0,1.0,79.29613000047325
66.0,20.180821917808167,1.0,1.0,1.0,79.38522764234266
67.0,20.183561643835564,1.0,1.0,1.0,79.47477966510078
68.0,20.18630136986296,1.0,1.0,1.0,79.56381652811521
69.0,20.189041095890357,1.0,1.0,1.0,79.65301115747809
70.0,20.191780821917753,1.0,1.0,1.0,79.74159836171978
71.0,20.19452054794515,1.0,1.0,1.0,79.82945937060829
72.0,20.197260273972546,1.0,1.0,1.0,79.91804121611064
73.0,20.199999999999942,1.0,1.0,1.0,80.00721544384811
74.0,20.20273972602734,1.0,1.0,1.0,80.09678969262959
75.0,20.205479452054735,1.0,1.0,1.0,80.1851841160817
76.0,20.208219178082132,1.0,1.0,1.0,80.27338327821288
77.0,20.21095890410953,1.0,1.0,1.0,80.36249664075646
78.0,20.213698630136925,1.0,1.0,1.0,80.4517120882531
79.0,20.21643835616432,1.0,1.0,1.0,80.54140707919645
80.0,20.219178082191718,1.0,1.0,1.0,80.63041462030577
81.0,20.221917808219114,1.0,1.0,1.0,80.71968317902524
82.0,20.22465753424651,1.0,1.0,1.0,80.80886277366554
83.0,20.227397260273907,1.0,1.0,1.0,80.89821094767456
84.0,20.230136986301304,1.0,1.0,1.0,80.9883404464365
85.0,20.2328767123287,1.0,1.0,1.0,81.0775406497873
86.0,20.235616438356097,1.0,1.0,1.0,81.1658013222677
87.0,20.238356164383493,1.0,1.0,1.0,81.25684812921692
88.0,20.24109589041089,1.0,1.0,1.0,81.3465321306587
89.0,20.243835616438286,1.0,1.0,1.0,81.43558815585207
90.0,20.246575342465682,1.0,1.0,1.0,81.52543201584812
91.0,20.24931506849308,1.0,1.0,1.0,81.61439040379352
92.0,20.252054794520475,1.0,1.0,1.0,81.70378631800891
93.0,20.254794520547872,1.0,1.0,1.0,81.79181403739996
94.0,20.25753424657527,1.0,1.0,1.0,81.88173379109108
95.0,20.260273972602665,1.0,1.0,1.0,81.9704094609234
96.0,20.26301369863006,1.0,1.0,1.0,82.05955802866622
97.0,20.265753424657458,1.0,1.0,1.0,82.14827130389044
98.0,20.268493150684854,1.0,1.0,1.0,82.23782251014467
99.0,20.27123287671225,1.0,1.0,1.0,82.32736473912918
100.0,20.273972602739647,1.0,1.0,1.0,82.41736360095493
101.0,20.276712328767044,1.0,1.0,1.0,82.5076440533211
102.0,20.27945205479444,1.0,1.0,1.0,82.59847028435007
103.0,20.282191780821837,1.0,1.0,1.0,82.6880579140715
104.0,20.284931506849233,1.0,1.0,1.0,82.77713893262012
105.0,20.28767123287663,1.0,1.0,1.0,82.86622576327383
106.0,20.290410958904026,1.0,1.0,1.0,82.95535864540363
107.0,20.293150684931422,1.0,1.0,1.0,83.04521925031649
108.0,20.29589041095882,1.0,1.0,1.0,83.13332984707496
109.0,20.298630136986215,1.0,1.0,1.0,83.22271531099517
110.0,20.301369863013612,1.0,1.0,1.0,83.31264964300276
111.0,20.30410958904101,1.0,1.0,1.0,83.40335211855435
112.0,20.306849315068405,1.0,1.0,1.0,83.49282025341402
113.0,20.3095890410958,1.0,1.0,1.0,83.5821315689244
114.0,20.312328767123198,1.0,1.0,1.0,83.67117679478653
115.0,20.315068493150594,1.0,1.0,1.0,83.76024536682259
116.0,20.31780821917799,1.0,1.0,1.0,83.84936677331291
117.0,20.320547945205387,1.0,1.0,1.0,83.9383938301358
118.0,20.323287671232784,1.0,1.0,1.0,84.02889818706201
119.0,20.32602739726018,1.0,1.0,1.0,84.11775910279545
120.0,20.328767123287577,1.0,1.0,1.0,84.20766582896007
121.0,20.331506849314973,1.0,1.0,1.0,84.29750563742184
122.0,20.33424657534237,1.0,1.0,1.0,84.38725838686209
123.0,20.336986301369766,1.0,1.0,1.0,84.47593331341233
124.0,20.339726027397163,1.0,1.0,1.0,84.56602457396943
125.0,20.34246575342456,1.0,1.0,1.0,84.65605509843182
126.0,20.345205479451955,1.0,1.0,1.0,84.74659638451274
127.0,20.347945205479352,1.0,1.0,1.0,84.83501042046991
128.0,20.35068493150675,1.0,1.0,1.0,84.92450311377912
129.0,20.353424657534145,1.0,1.0,1.0,85.01366934441631
130.0,20.35616438356154,1.0,1.0,1.0,85.10332320447539
131.0,20.358904109588938,1.0,1.0,1.0,85.19177214265723
132.0,20.361643835616334,1.0,1.0,1.0,85.28306766492109
133.0,20.36438356164373,1.0,1.0,1.0,85.37287843276704
134.0,20.367123287671127,1.0,1.0,1.0,85.46329053427822
135.0,20.369863013698524,1.0,1.0,1.0,85.55401472996999
136.0,20.37260273972592,1.0,1.0,1.0,85.64366684502917
137.0,20.375342465753317,1.0,1.0,1.0,85.73407462776224
138.0,20.378082191780713,1.0,1.0,1.0,85.82395330125874
139.0,20.38082191780811,1.0,1.0,1.0,85.9128581231985
140.0,20.383561643835506,1.0,1.0,1.0,86.00355411323974
141.0,20.386301369862903,1.0,1.0,1.0,86.09308939108573
142.0,20.3890410958903,1.0,1.0,1.0,86.18303736682104
143.0,20.391780821917695,1.0,1.0,1.0,86.27242483426161
144.0,20.394520547945092,1.0,1.0,1.0,86.36224098308185
